ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
56	indv	3-jk	left	dlh2	classification	_None	lr	True	1000	None
57	indv	3-jk	left	dlh2	classification	_downsample	randomforest	True	100	None
58	indv	3-jk	left	dlh2	classification	_downsample	randomforest	True	200	None
59	indv	3-jk	left	dlh2	classification	_downsample	randomforest	True	500	None
60	indv	3-jk	left	dlh2	classification	_downsample	randomforest	True	1000	None
61	indv	3-jk	left	dlh2	classification	_downsample	lr	True	100	None
62	indv	3-jk	left	dlh2	classification	_downsample	lr	True	200	None
63	indv	3-jk	left	dlh2	classification	_downsample	lr	True	500	None
64	indv	3-jk	left	dlh2	classification	_downsample	lr	True	1000	None
65	indv	3-jk	left	dlh2	classification	_smote	randomforest	True	100	None
66	indv	3-jk	left	dlh2	classification	_smote	randomforest	True	200	None
67	indv	3-jk	left	dlh2	classification	_smote	randomforest	True	500	None
68	indv	3-jk	left	dlh2	classification	_smote	randomforest	True	1000	None
69	indv	3-jk	left	dlh2	classification	_smote	lr	True	100	None
70	indv	3-jk	left	dlh2	classification	_smote	lr	True	200	None
71	indv	3-jk	left	dlh2	classification	_smote	lr	True	500	None
72	indv	3-jk	left	dlh2	classification	_smote	lr	True	1000	None
73	indv	1-sf	left	dlh0	classification	_None	randomforest	True	100	None
74	indv	1-sf	left	dlh0	classification	_None	randomforest	True	200	None
75	indv	1-sf	left	dlh0	classification	_None	randomforest	True	500	None
76	indv	1-sf	left	dlh0	classification	_None	randomforest	True	1000	None
77	indv	1-sf	left	dlh0	classification	_None	lr	True	100	None
78	indv	1-sf	left	dlh0	classification	_None	lr	True	200	None
79	indv	1-sf	left	dlh0	classification	_None	lr	True	500	None
80	indv	1-sf	left	dlh0	classification	_None	lr	True	1000	None
81	indv	1-sf	left	dlh0	classification	_downsample	randomforest	True	100	None
82	indv	1-sf	left	dlh0	classification	_downsample	randomforest	True	200	None
83	indv	1-sf	left	dlh0	classification	_downsample	randomforest	True	500	None
84	indv	1-sf	left	dlh0	classification	_downsample	randomforest	True	1000	None
85	indv	1-sf	left	dlh0	classification	_downsample	lr	True	100	None
86	indv	1-sf	left	dlh0	classification	_downsample	lr	True	200	None
87	indv	1-sf	left	dlh0	classification	_downsample	lr	True	500	None
88	indv	1-sf	left	dlh0	classification	_downsample	lr	True	1000	None
89	indv	1-sf	left	dlh0	classification	_smote	randomforest	True	100	None
90	indv	1-sf	left	dlh0	classification	_smote	randomforest	True	200	None
91	indv	1-sf	left	dlh0	classification	_smote	randomforest	True	500	None
92	indv	1-sf	left	dlh0	classification	_smote	randomforest	True	1000	None
93	indv	1-sf	left	dlh0	classification	_smote	lr	True	100	None
94	indv	1-sf	left	dlh0	classification	_smote	lr	True	200	None
95	indv	1-sf	left	dlh0	classification	_smote	lr	True	500	None
96	indv	1-sf	left	dlh0	classification	_smote	lr	True	1000	None
97	indv	1-sf	left	dlh1	classification	_None	randomforest	True	100	None
98	indv	1-sf	left	dlh1	classification	_None	randomforest	True	200	None
99	indv	1-sf	left	dlh1	classification	_None	randomforest	True	500	None
100	indv	1-sf	left	dlh1	classification	_None	randomforest	True	1000	None
101	indv	1-sf	left	dlh1	classification	_None	lr	True	100	None
102	indv	1-sf	left	dlh1	classification	_None	lr	True	200	None
103	indv	1-sf	left	dlh1	classification	_None	lr	True	500	None
104	indv	1-sf	left	dlh1	classification	_None	lr	True	1000	None
105	indv	1-sf	left	dlh1	classification	_downsample	randomforest	True	100	None
106	indv	1-sf	left	dlh1	classification	_downsample	randomforest	True	200	None
107	indv	1-sf	left	dlh1	classification	_downsample	randomforest	True	500	None
108	indv	1-sf	left	dlh1	classification	_downsample	randomforest	True	1000	None
109	indv	1-sf	left	dlh1	classification	_downsample	lr	True	100	None
110	indv	1-sf	left	dlh1	classification	_downsample	lr	True	200	None
111	indv	1-sf	left	dlh1	classification	_downsample	lr	True	500	None
112	indv	1-sf	left	dlh1	classification	_downsample	lr	True	1000	None
113	indv	1-sf	left	dlh1	classification	_smote	randomforest	True	100	None
114	indv	1-sf	left	dlh1	classification	_smote	randomforest	True	200	None
115	indv	1-sf	left	dlh1	classification	_smote	randomforest	True	500	None
116	indv	1-sf	left	dlh1	classification	_smote	randomforest	True	1000	None
117	indv	1-sf	left	dlh1	classification	_smote	lr	True	100	None
118	indv	1-sf	left	dlh1	classification	_smote	lr	True	200	None
119	indv	1-sf	left	dlh1	classification	_smote	lr	True	500	None
120	indv	1-sf	left	dlh1	classification	_smote	lr	True	1000	None
121	indv	1-sf	left	dlh2	classification	_None	randomforest	True	100	None
122	indv	1-sf	left	dlh2	classification	_None	randomforest	True	200	None
123	indv	1-sf	left	dlh2	classification	_None	randomforest	True	500	None
124	indv	1-sf	left	dlh2	classification	_None	randomforest	True	1000	None
125	indv	1-sf	left	dlh2	classification	_None	lr	True	100	None
126	indv	1-sf	left	dlh2	classification	_None	lr	True	200	None
127	indv	1-sf	left	dlh2	classification	_None	lr	True	500	None
128	indv	1-sf	left	dlh2	classification	_None	lr	True	1000	None
129	indv	1-sf	left	dlh2	classification	_downsample	randomforest	True	100	None
130	indv	1-sf	left	dlh2	classification	_downsample	randomforest	True	200	None
131	indv	1-sf	left	dlh2	classification	_downsample	randomforest	True	500	None
132	indv	1-sf	left	dlh2	classification	_downsample	randomforest	True	1000	None
133	indv	1-sf	left	dlh2	classification	_downsample	lr	True	100	None
134	indv	1-sf	left	dlh2	classification	_downsample	lr	True	200	None
135	indv	1-sf	left	dlh2	classification	_downsample	lr	True	500	None
136	indv	1-sf	left	dlh2	classification	_downsample	lr	True	1000	None
137	indv	1-sf	left	dlh2	classification	_smote	randomforest	True	100	None
138	indv	1-sf	left	dlh2	classification	_smote	randomforest	True	200	None
139	indv	1-sf	left	dlh2	classification	_smote	randomforest	True	500	None
140	indv	1-sf	left	dlh2	classification	_smote	randomforest	True	1000	None
141	indv	1-sf	left	dlh2	classification	_smote	lr	True	100	None
142	indv	1-sf	left	dlh2	classification	_smote	lr	True	200	None
143	indv	1-sf	left	dlh2	classification	_smote	lr	True	500	None
144	indv	1-sf	left	dlh2	classification	_smote	lr	True	1000	None
145	indv	10-rc	left	dlh0	classification	_None	randomforest	True	100	None
146	indv	10-rc	left	dlh0	classification	_None	randomforest	True	200	None
147	indv	10-rc	left	dlh0	classification	_None	randomforest	True	500	None
