ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
1	indv	3-jk	left	dlh0	classification	_None	autoencoder	True	5000	None
2	indv	3-jk	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
3	indv	3-jk	left	dlh1	classification	_None	autoencoder	True	5000	None
4	indv	3-jk	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
5	indv	3-jk	left	dlh2	classification	_None	autoencoder	True	5000	None
6	indv	3-jk	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
7	indv	1-sf	left	dlh0	classification	_None	autoencoder	True	5000	None
8	indv	1-sf	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
9	indv	1-sf	left	dlh1	classification	_None	autoencoder	True	5000	None
10	indv	1-sf	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
11	indv	1-sf	left	dlh2	classification	_None	autoencoder	True	5000	None
12	indv	1-sf	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
13	indv	10-rc	left	dlh0	classification	_None	autoencoder	True	5000	None
14	indv	10-rc	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
15	indv	10-rc	left	dlh1	classification	_None	autoencoder	True	5000	None
16	indv	10-rc	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
17	indv	10-rc	left	dlh2	classification	_None	autoencoder	True	5000	None
18	indv	10-rc	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
19	indv	12-mb	left	dlh0	classification	_None	autoencoder	True	5000	None
20	indv	12-mb	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
21	indv	12-mb	left	dlh1	classification	_None	autoencoder	True	5000	None
22	indv	12-mb	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
23	indv	12-mb	left	dlh2	classification	_None	autoencoder	True	5000	None
24	indv	12-mb	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
25	indv	17-sb	left	dlh0	classification	_None	autoencoder	True	5000	None
26	indv	17-sb	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
27	indv	17-sb	left	dlh1	classification	_None	autoencoder	True	5000	None
28	indv	17-sb	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
29	indv	17-sb	left	dlh2	classification	_None	autoencoder	True	5000	None
30	indv	17-sb	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
31	indv	19-me	left	dlh0	classification	_None	autoencoder	True	5000	None
32	indv	19-me	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
33	indv	19-me	left	dlh1	classification	_None	autoencoder	True	5000	None
34	indv	19-me	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
35	indv	19-me	left	dlh2	classification	_None	autoencoder	True	5000	None
36	indv	19-me	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
37	indv	2-bd	left	dlh0	classification	_None	autoencoder	True	5000	None
38	indv	2-bd	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
39	indv	2-bd	left	dlh1	classification	_None	autoencoder	True	5000	None
40	indv	2-bd	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
41	indv	2-bd	left	dlh2	classification	_None	autoencoder	True	5000	None
42	indv	2-bd	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
43	indv	22-ap	left	dlh0	classification	_None	autoencoder	True	5000	None
44	indv	22-ap	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
45	indv	22-ap	left	dlh1	classification	_None	autoencoder	True	5000	None
46	indv	22-ap	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
47	indv	22-ap	left	dlh2	classification	_None	autoencoder	True	5000	None
48	indv	22-ap	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
49	indv	26-tc	left	dlh0	classification	_None	autoencoder	True	5000	None
50	indv	26-tc	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
51	indv	26-tc	left	dlh1	classification	_None	autoencoder	True	5000	None
52	indv	26-tc	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
53	indv	26-tc	left	dlh2	classification	_None	autoencoder	True	5000	None
54	indv	26-tc	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
55	indv	31-ns	left	dlh0	classification	_None	autoencoder	True	5000	None
56	indv	31-ns	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
57	indv	31-ns	left	dlh1	classification	_None	autoencoder	True	5000	None
58	indv	31-ns	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
59	indv	31-ns	left	dlh2	classification	_None	autoencoder	True	5000	None
60	indv	31-ns	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
61	indv	32-rf	left	dlh0	classification	_None	autoencoder	True	5000	None
62	indv	32-rf	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
63	indv	32-rf	left	dlh1	classification	_None	autoencoder	True	5000	None
64	indv	32-rf	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
65	indv	32-rf	left	dlh2	classification	_None	autoencoder	True	5000	None
66	indv	32-rf	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
67	indv	36-af	left	dlh0	classification	_None	autoencoder	True	5000	None
68	indv	36-af	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
69	indv	36-af	left	dlh1	classification	_None	autoencoder	True	5000	None
70	indv	36-af	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
71	indv	36-af	left	dlh2	classification	_None	autoencoder	True	5000	None
72	indv	36-af	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
73	indv	38-cs	left	dlh0	classification	_None	autoencoder	True	5000	None
74	indv	38-cs	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
75	indv	38-cs	left	dlh1	classification	_None	autoencoder	True	5000	None
76	indv	38-cs	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
77	indv	38-cs	left	dlh2	classification	_None	autoencoder	True	5000	None
78	indv	38-cs	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
79	indv	39-dg	left	dlh0	classification	_None	autoencoder	True	5000	None
80	indv	39-dg	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
81	indv	39-dg	left	dlh1	classification	_None	autoencoder	True	5000	None
82	indv	39-dg	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
83	indv	39-dg	left	dlh2	classification	_None	autoencoder	True	5000	None
84	indv	39-dg	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
85	indv	4-rs	left	dlh0	classification	_None	autoencoder	True	5000	None
86	indv	4-rs	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
87	indv	4-rs	left	dlh1	classification	_None	autoencoder	True	5000	None
88	indv	4-rs	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
89	indv	4-rs	left	dlh2	classification	_None	autoencoder	True	5000	None
90	indv	4-rs	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
91	indv	41-pk	left	dlh0	classification	_None	autoencoder	True	5000	None
92	indv	41-pk	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
93	indv	41-pk	left	dlh1	classification	_None	autoencoder	True	5000	None
94	indv	41-pk	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
95	indv	41-pk	left	dlh2	classification	_None	autoencoder	True	5000	None
96	indv	41-pk	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
97	indv	43-cm	left	dlh0	classification	_None	autoencoder	True	5000	None
98	indv	43-cm	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
99	indv	43-cm	left	dlh1	classification	_None	autoencoder	True	5000	None
100	indv	43-cm	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
101	indv	43-cm	left	dlh2	classification	_None	autoencoder	True	5000	None
102	indv	43-cm	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
103	indv	7-sb	left	dlh0	classification	_None	autoencoder	True	5000	None
104	indv	7-sb	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
105	indv	7-sb	left	dlh1	classification	_None	autoencoder	True	5000	None
106	indv	7-sb	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
107	indv	7-sb	left	dlh2	classification	_None	autoencoder	True	5000	None
108	indv	7-sb	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
109	general	3-jk	left	dlh0	classification	_None	autoencoder	True	5000	None
110	general	3-jk	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
111	general	3-jk	left	dlh1	classification	_None	autoencoder	True	5000	None
112	general	3-jk	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
113	general	3-jk	left	dlh2	classification	_None	autoencoder	True	5000	None
114	general	3-jk	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
115	general	1-sf	left	dlh0	classification	_None	autoencoder	True	5000	None
116	general	1-sf	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
117	general	1-sf	left	dlh1	classification	_None	autoencoder	True	5000	None
118	general	1-sf	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
119	general	1-sf	left	dlh2	classification	_None	autoencoder	True	5000	None
120	general	1-sf	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
121	general	10-rc	left	dlh0	classification	_None	autoencoder	True	5000	None
122	general	10-rc	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
123	general	10-rc	left	dlh1	classification	_None	autoencoder	True	5000	None
124	general	10-rc	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
125	general	10-rc	left	dlh2	classification	_None	autoencoder	True	5000	None
126	general	10-rc	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
127	general	12-mb	left	dlh0	classification	_None	autoencoder	True	5000	None
128	general	12-mb	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
129	general	12-mb	left	dlh1	classification	_None	autoencoder	True	5000	None
130	general	12-mb	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
131	general	12-mb	left	dlh2	classification	_None	autoencoder	True	5000	None
132	general	12-mb	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
133	general	17-sb	left	dlh0	classification	_None	autoencoder	True	5000	None
134	general	17-sb	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
135	general	17-sb	left	dlh1	classification	_None	autoencoder	True	5000	None
136	general	17-sb	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
137	general	17-sb	left	dlh2	classification	_None	autoencoder	True	5000	None
138	general	17-sb	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
139	general	19-me	left	dlh0	classification	_None	autoencoder	True	5000	None
140	general	19-me	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
141	general	19-me	left	dlh1	classification	_None	autoencoder	True	5000	None
142	general	19-me	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
143	general	19-me	left	dlh2	classification	_None	autoencoder	True	5000	None
144	general	19-me	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
145	general	2-bd	left	dlh0	classification	_None	autoencoder	True	5000	None
146	general	2-bd	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
147	general	2-bd	left	dlh1	classification	_None	autoencoder	True	5000	None
148	general	2-bd	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
149	general	2-bd	left	dlh2	classification	_None	autoencoder	True	5000	None
150	general	2-bd	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
151	general	22-ap	left	dlh0	classification	_None	autoencoder	True	5000	None
152	general	22-ap	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
153	general	22-ap	left	dlh1	classification	_None	autoencoder	True	5000	None
154	general	22-ap	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
155	general	22-ap	left	dlh2	classification	_None	autoencoder	True	5000	None
156	general	22-ap	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
157	general	26-tc	left	dlh0	classification	_None	autoencoder	True	5000	None
158	general	26-tc	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
159	general	26-tc	left	dlh1	classification	_None	autoencoder	True	5000	None
160	general	26-tc	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
161	general	26-tc	left	dlh2	classification	_None	autoencoder	True	5000	None
162	general	26-tc	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
163	general	31-ns	left	dlh0	classification	_None	autoencoder	True	5000	None
164	general	31-ns	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
165	general	31-ns	left	dlh1	classification	_None	autoencoder	True	5000	None
166	general	31-ns	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
167	general	31-ns	left	dlh2	classification	_None	autoencoder	True	5000	None
168	general	31-ns	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
169	general	32-rf	left	dlh0	classification	_None	autoencoder	True	5000	None
170	general	32-rf	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
171	general	32-rf	left	dlh1	classification	_None	autoencoder	True	5000	None
172	general	32-rf	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
173	general	32-rf	left	dlh2	classification	_None	autoencoder	True	5000	None
174	general	32-rf	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
175	general	36-af	left	dlh0	classification	_None	autoencoder	True	5000	None
176	general	36-af	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
177	general	36-af	left	dlh1	classification	_None	autoencoder	True	5000	None
178	general	36-af	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
179	general	36-af	left	dlh2	classification	_None	autoencoder	True	5000	None
180	general	36-af	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
181	general	38-cs	left	dlh0	classification	_None	autoencoder	True	5000	None
182	general	38-cs	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
183	general	38-cs	left	dlh1	classification	_None	autoencoder	True	5000	None
184	general	38-cs	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
185	general	38-cs	left	dlh2	classification	_None	autoencoder	True	5000	None
186	general	38-cs	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
187	general	39-dg	left	dlh0	classification	_None	autoencoder	True	5000	None
188	general	39-dg	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
189	general	39-dg	left	dlh1	classification	_None	autoencoder	True	5000	None
190	general	39-dg	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
191	general	39-dg	left	dlh2	classification	_None	autoencoder	True	5000	None
192	general	39-dg	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
193	general	4-rs	left	dlh0	classification	_None	autoencoder	True	5000	None
194	general	4-rs	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
195	general	4-rs	left	dlh1	classification	_None	autoencoder	True	5000	None
196	general	4-rs	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
197	general	4-rs	left	dlh2	classification	_None	autoencoder	True	5000	None
198	general	4-rs	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
199	general	41-pk	left	dlh0	classification	_None	autoencoder	True	5000	None
200	general	41-pk	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
201	general	41-pk	left	dlh1	classification	_None	autoencoder	True	5000	None
202	general	41-pk	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
203	general	41-pk	left	dlh2	classification	_None	autoencoder	True	5000	None
204	general	41-pk	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
205	general	43-cm	left	dlh0	classification	_None	autoencoder	True	5000	None
206	general	43-cm	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
207	general	43-cm	left	dlh1	classification	_None	autoencoder	True	5000	None
208	general	43-cm	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
209	general	43-cm	left	dlh2	classification	_None	autoencoder	True	5000	None
210	general	43-cm	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
211	general	7-sb	left	dlh0	classification	_None	autoencoder	True	5000	None
212	general	7-sb	left	dlh0	classification	_None	lstm-autoencoder	True	5000	None
213	general	7-sb	left	dlh1	classification	_None	autoencoder	True	5000	None
214	general	7-sb	left	dlh1	classification	_None	lstm-autoencoder	True	5000	None
215	general	7-sb	left	dlh2	classification	_None	autoencoder	True	5000	None
216	general	7-sb	left	dlh2	classification	_None	lstm-autoencoder	True	5000	None
