ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
79	indv	10-rc	left	dlh2	classification	_smote	lstm	True	1000	None
80	indv	10-rc	left	dlh2	classification	_smote	ann	True	1000	None
81	indv	10-rc	left	dlh2	classification	_smote	simplernn	True	1000	None
82	indv	12-mb	left	dlh0	classification	_None	lstm	True	1000	None
83	indv	12-mb	left	dlh0	classification	_None	ann	True	1000	None
84	indv	12-mb	left	dlh0	classification	_None	simplernn	True	1000	None
85	indv	12-mb	left	dlh0	classification	_downsample	lstm	True	1000	None
86	indv	12-mb	left	dlh0	classification	_downsample	ann	True	1000	None
87	indv	12-mb	left	dlh0	classification	_downsample	simplernn	True	1000	None
88	indv	12-mb	left	dlh0	classification	_smote	lstm	True	1000	None
89	indv	12-mb	left	dlh0	classification	_smote	ann	True	1000	None
90	indv	12-mb	left	dlh0	classification	_smote	simplernn	True	1000	None
91	indv	12-mb	left	dlh1	classification	_None	lstm	True	1000	None
92	indv	12-mb	left	dlh1	classification	_None	ann	True	1000	None
93	indv	12-mb	left	dlh1	classification	_None	simplernn	True	1000	None
94	indv	12-mb	left	dlh1	classification	_downsample	lstm	True	1000	None
95	indv	12-mb	left	dlh1	classification	_downsample	ann	True	1000	None
96	indv	12-mb	left	dlh1	classification	_downsample	simplernn	True	1000	None
97	indv	12-mb	left	dlh1	classification	_smote	lstm	True	1000	None
98	indv	12-mb	left	dlh1	classification	_smote	ann	True	1000	None
99	indv	12-mb	left	dlh1	classification	_smote	simplernn	True	1000	None
100	indv	12-mb	left	dlh2	classification	_None	lstm	True	1000	None
101	indv	12-mb	left	dlh2	classification	_None	ann	True	1000	None
102	indv	12-mb	left	dlh2	classification	_None	simplernn	True	1000	None
103	indv	12-mb	left	dlh2	classification	_downsample	lstm	True	1000	None
104	indv	12-mb	left	dlh2	classification	_downsample	ann	True	1000	None
105	indv	12-mb	left	dlh2	classification	_downsample	simplernn	True	1000	None
106	indv	12-mb	left	dlh2	classification	_smote	lstm	True	1000	None
107	indv	12-mb	left	dlh2	classification	_smote	ann	True	1000	None
108	indv	12-mb	left	dlh2	classification	_smote	simplernn	True	1000	None
109	indv	17-sb	left	dlh0	classification	_None	lstm	True	1000	None
110	indv	17-sb	left	dlh0	classification	_None	ann	True	1000	None
111	indv	17-sb	left	dlh0	classification	_None	simplernn	True	1000	None
112	indv	17-sb	left	dlh0	classification	_downsample	lstm	True	1000	None
113	indv	17-sb	left	dlh0	classification	_downsample	ann	True	1000	None
114	indv	17-sb	left	dlh0	classification	_downsample	simplernn	True	1000	None
115	indv	17-sb	left	dlh0	classification	_smote	lstm	True	1000	None
116	indv	17-sb	left	dlh0	classification	_smote	ann	True	1000	None
117	indv	17-sb	left	dlh0	classification	_smote	simplernn	True	1000	None
118	indv	17-sb	left	dlh1	classification	_None	lstm	True	1000	None
119	indv	17-sb	left	dlh1	classification	_None	ann	True	1000	None
120	indv	17-sb	left	dlh1	classification	_None	simplernn	True	1000	None
121	indv	17-sb	left	dlh1	classification	_downsample	lstm	True	1000	None
122	indv	17-sb	left	dlh1	classification	_downsample	ann	True	1000	None
123	indv	17-sb	left	dlh1	classification	_downsample	simplernn	True	1000	None
124	indv	17-sb	left	dlh1	classification	_smote	lstm	True	1000	None
125	indv	17-sb	left	dlh1	classification	_smote	ann	True	1000	None
126	indv	17-sb	left	dlh1	classification	_smote	simplernn	True	1000	None
127	indv	17-sb	left	dlh2	classification	_None	lstm	True	1000	None
128	indv	17-sb	left	dlh2	classification	_None	ann	True	1000	None
129	indv	17-sb	left	dlh2	classification	_None	simplernn	True	1000	None
130	indv	17-sb	left	dlh2	classification	_downsample	lstm	True	1000	None
131	indv	17-sb	left	dlh2	classification	_downsample	ann	True	1000	None
132	indv	17-sb	left	dlh2	classification	_downsample	simplernn	True	1000	None
133	indv	17-sb	left	dlh2	classification	_smote	lstm	True	1000	None
134	indv	17-sb	left	dlh2	classification	_smote	ann	True	1000	None
135	indv	17-sb	left	dlh2	classification	_smote	simplernn	True	1000	None
136	indv	19-me	left	dlh0	classification	_None	lstm	True	1000	None
137	indv	19-me	left	dlh0	classification	_None	ann	True	1000	None
138	indv	19-me	left	dlh0	classification	_None	simplernn	True	1000	None
139	indv	19-me	left	dlh0	classification	_downsample	lstm	True	1000	None
140	indv	19-me	left	dlh0	classification	_downsample	ann	True	1000	None
141	indv	19-me	left	dlh0	classification	_downsample	simplernn	True	1000	None
142	indv	19-me	left	dlh0	classification	_smote	lstm	True	1000	None
143	indv	19-me	left	dlh0	classification	_smote	ann	True	1000	None
144	indv	19-me	left	dlh0	classification	_smote	simplernn	True	1000	None
145	indv	19-me	left	dlh1	classification	_None	lstm	True	1000	None
146	indv	19-me	left	dlh1	classification	_None	ann	True	1000	None
147	indv	19-me	left	dlh1	classification	_None	simplernn	True	1000	None
148	indv	19-me	left	dlh1	classification	_downsample	lstm	True	1000	None
149	indv	19-me	left	dlh1	classification	_downsample	ann	True	1000	None
150	indv	19-me	left	dlh1	classification	_downsample	simplernn	True	1000	None
151	indv	19-me	left	dlh1	classification	_smote	lstm	True	1000	None
152	indv	19-me	left	dlh1	classification	_smote	ann	True	1000	None
153	indv	19-me	left	dlh1	classification	_smote	simplernn	True	1000	None
154	indv	19-me	left	dlh2	classification	_None	lstm	True	1000	None
155	indv	19-me	left	dlh2	classification	_None	ann	True	1000	None
156	indv	19-me	left	dlh2	classification	_None	simplernn	True	1000	None
157	indv	19-me	left	dlh2	classification	_downsample	lstm	True	1000	None
158	indv	19-me	left	dlh2	classification	_downsample	ann	True	1000	None
159	indv	19-me	left	dlh2	classification	_downsample	simplernn	True	1000	None
160	indv	19-me	left	dlh2	classification	_smote	lstm	True	1000	None
161	indv	19-me	left	dlh2	classification	_smote	ann	True	1000	None
162	indv	19-me	left	dlh2	classification	_smote	simplernn	True	1000	None
163	indv	2-bd	left	dlh0	classification	_None	lstm	True	1000	None
164	indv	2-bd	left	dlh0	classification	_None	ann	True	1000	None
165	indv	2-bd	left	dlh0	classification	_None	simplernn	True	1000	None
166	indv	2-bd	left	dlh0	classification	_downsample	lstm	True	1000	None
167	indv	2-bd	left	dlh0	classification	_downsample	ann	True	1000	None
168	indv	2-bd	left	dlh0	classification	_downsample	simplernn	True	1000	None
169	indv	2-bd	left	dlh0	classification	_smote	lstm	True	1000	None
170	indv	2-bd	left	dlh0	classification	_smote	ann	True	1000	None
171	indv	2-bd	left	dlh0	classification	_smote	simplernn	True	1000	None
172	indv	2-bd	left	dlh1	classification	_None	lstm	True	1000	None
173	indv	2-bd	left	dlh1	classification	_None	ann	True	1000	None
174	indv	2-bd	left	dlh1	classification	_None	simplernn	True	1000	None
175	indv	2-bd	left	dlh1	classification	_downsample	lstm	True	1000	None
176	indv	2-bd	left	dlh1	classification	_downsample	ann	True	1000	None
177	indv	2-bd	left	dlh1	classification	_downsample	simplernn	True	1000	None
178	indv	2-bd	left	dlh1	classification	_smote	lstm	True	1000	None
179	indv	2-bd	left	dlh1	classification	_smote	ann	True	1000	None
180	indv	2-bd	left	dlh1	classification	_smote	simplernn	True	1000	None
181	indv	2-bd	left	dlh2	classification	_None	lstm	True	1000	None
182	indv	2-bd	left	dlh2	classification	_None	ann	True	1000	None
183	indv	2-bd	left	dlh2	classification	_None	simplernn	True	1000	None
184	indv	2-bd	left	dlh2	classification	_downsample	lstm	True	1000	None
185	indv	2-bd	left	dlh2	classification	_downsample	ann	True	1000	None
186	indv	2-bd	left	dlh2	classification	_downsample	simplernn	True	1000	None
187	indv	2-bd	left	dlh2	classification	_smote	lstm	True	1000	None
188	indv	2-bd	left	dlh2	classification	_smote	ann	True	1000	None
189	indv	2-bd	left	dlh2	classification	_smote	simplernn	True	1000	None
190	indv	22-ap	left	dlh0	classification	_None	lstm	True	1000	None
191	indv	22-ap	left	dlh0	classification	_None	ann	True	1000	None
192	indv	22-ap	left	dlh0	classification	_None	simplernn	True	1000	None
193	indv	22-ap	left	dlh0	classification	_downsample	lstm	True	1000	None
194	indv	22-ap	left	dlh0	classification	_downsample	ann	True	1000	None
195	indv	22-ap	left	dlh0	classification	_downsample	simplernn	True	1000	None
196	indv	22-ap	left	dlh0	classification	_smote	lstm	True	1000	None
197	indv	22-ap	left	dlh0	classification	_smote	ann	True	1000	None
198	indv	22-ap	left	dlh0	classification	_smote	simplernn	True	1000	None
199	indv	22-ap	left	dlh1	classification	_None	lstm	True	1000	None
200	indv	22-ap	left	dlh1	classification	_None	ann	True	1000	None
201	indv	22-ap	left	dlh1	classification	_None	simplernn	True	1000	None
202	indv	22-ap	left	dlh1	classification	_downsample	lstm	True	1000	None
203	indv	22-ap	left	dlh1	classification	_downsample	ann	True	1000	None
204	indv	22-ap	left	dlh1	classification	_downsample	simplernn	True	1000	None
205	indv	22-ap	left	dlh1	classification	_smote	lstm	True	1000	None
206	indv	22-ap	left	dlh1	classification	_smote	ann	True	1000	None
