ArrayTaskID	Model_Type	Subject	Sensor	Hours	Event	Sampling	Model	Binary	Epochs	Callbacks
176	indv	2-bd	left	dlh1	classification	_None	lr	True	1000	None
177	indv	2-bd	left	dlh1	classification	_None	sgd	True	1000	None
178	indv	2-bd	left	dlh1	classification	_downsample	randomforest	True	1000	None
179	indv	2-bd	left	dlh1	classification	_downsample	lr	True	1000	None
180	indv	2-bd	left	dlh1	classification	_downsample	sgd	True	1000	None
181	indv	2-bd	left	dlh2	classification	_smote	randomforest	True	1000	None
182	indv	2-bd	left	dlh2	classification	_smote	lr	True	1000	None
183	indv	2-bd	left	dlh2	classification	_smote	sgd	True	1000	None
184	indv	2-bd	left	dlh2	classification	_None	randomforest	True	1000	None
185	indv	2-bd	left	dlh2	classification	_None	lr	True	1000	None
186	indv	2-bd	left	dlh2	classification	_None	sgd	True	1000	None
187	indv	2-bd	left	dlh2	classification	_downsample	randomforest	True	1000	None
188	indv	2-bd	left	dlh2	classification	_downsample	lr	True	1000	None
189	indv	2-bd	left	dlh2	classification	_downsample	sgd	True	1000	None
190	indv	22-ap	left	dlh0	classification	_smote	randomforest	True	1000	None
191	indv	22-ap	left	dlh0	classification	_smote	lr	True	1000	None
192	indv	22-ap	left	dlh0	classification	_smote	sgd	True	1000	None
193	indv	22-ap	left	dlh0	classification	_None	randomforest	True	1000	None
194	indv	22-ap	left	dlh0	classification	_None	lr	True	1000	None
195	indv	22-ap	left	dlh0	classification	_None	sgd	True	1000	None
196	indv	22-ap	left	dlh0	classification	_downsample	randomforest	True	1000	None
197	indv	22-ap	left	dlh0	classification	_downsample	lr	True	1000	None
198	indv	22-ap	left	dlh0	classification	_downsample	sgd	True	1000	None
199	indv	22-ap	left	dlh1	classification	_smote	randomforest	True	1000	None
200	indv	22-ap	left	dlh1	classification	_smote	lr	True	1000	None
201	indv	22-ap	left	dlh1	classification	_smote	sgd	True	1000	None
202	indv	22-ap	left	dlh1	classification	_None	randomforest	True	1000	None
203	indv	22-ap	left	dlh1	classification	_None	lr	True	1000	None
204	indv	22-ap	left	dlh1	classification	_None	sgd	True	1000	None
205	indv	22-ap	left	dlh1	classification	_downsample	randomforest	True	1000	None
206	indv	22-ap	left	dlh1	classification	_downsample	lr	True	1000	None
207	indv	22-ap	left	dlh1	classification	_downsample	sgd	True	1000	None
208	indv	22-ap	left	dlh2	classification	_smote	randomforest	True	1000	None
209	indv	22-ap	left	dlh2	classification	_smote	lr	True	1000	None
210	indv	22-ap	left	dlh2	classification	_smote	sgd	True	1000	None
211	indv	22-ap	left	dlh2	classification	_None	randomforest	True	1000	None
212	indv	22-ap	left	dlh2	classification	_None	lr	True	1000	None
213	indv	22-ap	left	dlh2	classification	_None	sgd	True	1000	None
214	indv	22-ap	left	dlh2	classification	_downsample	randomforest	True	1000	None
215	indv	22-ap	left	dlh2	classification	_downsample	lr	True	1000	None
216	indv	22-ap	left	dlh2	classification	_downsample	sgd	True	1000	None
217	indv	31-ns	left	dlh0	classification	_smote	randomforest	True	1000	None
218	indv	31-ns	left	dlh0	classification	_smote	lr	True	1000	None
219	indv	31-ns	left	dlh0	classification	_smote	sgd	True	1000	None
220	indv	31-ns	left	dlh0	classification	_None	randomforest	True	1000	None
221	indv	31-ns	left	dlh0	classification	_None	lr	True	1000	None
222	indv	31-ns	left	dlh0	classification	_None	sgd	True	1000	None
223	indv	31-ns	left	dlh0	classification	_downsample	randomforest	True	1000	None
224	indv	31-ns	left	dlh0	classification	_downsample	lr	True	1000	None
